rank,title,artist,album
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2,TOMBOY,(여자)아이들,I NEVER DIE
3,LOVE DIVE,IVE (아이브),LOVE DIVE
4,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
5,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6,GANADARA (Feat. 아이유),박재범,GANADARA
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
8,취중고백,김민석 (멜로망스),취중고백
9,INVU,태연 (TAEYEON),INVU - The 3rd Album
10,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까
11,ELEVEN,IVE (아이브),ELEVEN
12,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
13,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM
14,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
15,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
16,신호등,이무진,신호등
17,STAY,The Kid LAROI,Stay
18,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
19,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
20,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
21,버퍼링 (Glitch Mode),NCT DREAM,Glitch Mode - The 2nd Album
22,드라마,아이유,조각집
23,MY BAG,(여자)아이들,I NEVER DIE
24,Step Back,GOT the beat,Step Back
25,LOVE me,BE'O (비오),LOVE me
26,strawberry moon,아이유,strawberry moon
27,Next Level,aespa,Next Level
28,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
29,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
30,Weekend,태연 (TAEYEON),Weekend
31,사랑인걸,한동근,사랑인걸
32,Real Love,오마이걸 (OH MY GIRL),Real Love
33,내가 아니라도,주호,내가 아니라도
34,그대라는 사치,임영웅,사랑의 콜센타 PART62
35,너를 생각해,주시크 (Joosiq),너를 생각해
36,어제처럼,폴킴,어제처럼
37,abcdefu,GAYLE,abcdefu
38,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
39,호랑수월가,탑현,호랑수월가
40,라일락,아이유,IU 5th Album 'LILAC'
41,Dynamite,방탄소년단,Dynamite (DayTime Version)
42,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
43,잊었니,임영웅,사랑의 콜센타 PART60
44,Butter,방탄소년단,Butter
45,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
46,"스물다섯, 스물하나",자우림,"Goodbye, grief."
47,HERO,임영웅,HERO
48,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
49,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
50,끝사랑,임영웅,사랑의 콜센타 PART61
